city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Sohāna,30.6833,76.7000,India,IN,Punjab,,20000,20000
Khizrpur,30.5843,76.7572,India,IN,Punjab,,19817,19817
Anghad,22.3913,72.9946,India,IN,Gujarāt,,19805,19805
Oruvadālkotta,8.4778,77.1347,India,IN,Kerala,,19345,19345
Dumra,26.5671,85.5204,India,IN,Bihār,,19186,19186
Perunturuttu,9.6333,76.5667,India,IN,Kerala,,18691,18691
Dumjor,22.6400,88.2200,India,IN,West Bengal,,18433,18433
Mannara,8.5614,77.1263,India,IN,Kerala,,18343,18343
Ulao,25.4165,86.0936,India,IN,Bihār,,18020,18020
Vandalūr,12.8924,80.0808,India,IN,Tamil Nādu,,17655,17655
Lakhnaur,26.2020,86.3090,India,IN,Bihār,,17442,17442
Cherakara,8.9000,76.5833,India,IN,Kerala,,17342,17342
Usmānpur,24.7367,87.8676,India,IN,Jhārkhand,,17085,17085
Khusropur,25.4817,85.3849,India,IN,Bihār,,16109,16109
Valavakāttumūla,9.9800,76.5200,India,IN,Kerala,,15966,15966
Tillor Khurd,22.6170,75.9480,India,IN,Madhya Pradesh,,15000,15000
Garhpura,25.6638,86.1818,India,IN,Bihār,,14741,14741
Tonakkal,8.6312,76.9555,India,IN,Kerala,,13567,13567
Jamira,25.5535,84.7063,India,IN,Bihār,,13469,13469
Dundigal,17.5781,78.4288,India,IN,Telangāna,,13465,13465
Ayodhyāpattanam,11.6755,78.2409,India,IN,Tamil Nādu,,13122,13122
Neykkārappatti,11.6225,78.1058,India,IN,Tamil Nādu,,13027,13027
Bandlagūda,17.3543,78.3853,India,IN,Telangāna,,12734,12734
Bakhtāwarpur,28.8233,77.1717,India,IN,Delhi,,12716,12716
Desri,25.6691,85.4082,India,IN,Bihār,,12324,12324
Mugalivakkam,13.0205,80.1653,India,IN,Tamil Nādu,,12083,12083
Khānpur,25.8572,85.9330,India,IN,Bihār,,12066,12066
Perumbakkam,13.0133,80.1430,India,IN,Tamil Nādu,,11551,11551
Pākkam,13.1436,80.0280,India,IN,Tamil Nādu,,11509,11509
Manappakkam,13.0108,80.1686,India,IN,Tamil Nādu,,11358,11358
Akola,27.0655,77.8808,India,IN,Uttar Pradesh,,11351,11351
Chhabila,26.2477,85.9927,India,IN,Bihār,,11054,11054
Bāgnān,22.4700,87.9700,India,IN,West Bengal,,10996,10996
Nao Kothi,25.5196,86.1954,India,IN,Bihār,,10946,10946
Nīrkunnam,9.3500,76.5167,India,IN,Kerala,,10770,10770
Panamarattuppatti,11.5620,78.1649,India,IN,Tamil Nādu,,10725,10725
Begampur,22.7400,88.2400,India,IN,West Bengal,,10487,10487
Nipania,21.8500,82.0333,India,IN,Bihār,,10000,10000
Bhawānīpur,26.2385,86.0995,India,IN,Bihār,,9971,9971
Perumbalam,9.8462,76.3591,India,IN,Kerala,,9733,9733
Masar,25.5577,84.5767,India,IN,Bihār,,9613,9613
Kondaparti,17.9219,79.5373,India,IN,Telangāna,,9551,9551
Hesarghatta,13.1391,77.4783,India,IN,Karnātaka,,9485,9485
Māmidipalli,17.2516,78.4521,India,IN,Telangāna,,9236,9236
Bommayapālaiyam,11.9922,79.8499,India,IN,Tamil Nādu,,8796,8796
Kampel,22.6167,76.0500,India,IN,Madhya Pradesh,,8780,8780
Mahadipur,24.8566,88.1248,India,IN,West Bengal,,8638,8638
Gundūr,10.7339,78.7184,India,IN,Tamil Nādu,,8587,8587
Pachrukhi,26.1593,84.4087,India,IN,Bihār,,8508,8508
Mannivakkam,12.8884,80.0641,India,IN,Tamil Nādu,,8424,8424
Palāsgāchi,24.9833,87.9000,India,IN,West Bengal,,8303,8303
Singhaul,25.4375,86.1000,India,IN,Bihār,,8286,8286
Raghunandanpur,24.4680,88.0540,India,IN,West Bengal,,8005,8005
Harilādih,23.7333,86.4000,India,IN,Jhārkhand,,7917,7917
Pahleza,24.9378,84.1467,India,IN,Bihār,,7888,7888
Mādnāikanhalli,13.0626,77.4642,India,IN,Karnātaka,,7805,7805
Bhabāt,30.6580,76.8065,India,IN,Punjab,,7743,7743
Pithauriā,23.5180,85.2918,India,IN,Jhārkhand,,7674,7674
Hilora,24.5055,87.9661,India,IN,West Bengal,,7667,7667
Mevalūrkuppam,13.0320,79.9995,India,IN,Tamil Nādu,,7653,7653
Bāgalūr,13.1328,77.6685,India,IN,Karnātaka,,7519,7519
Pālavedu,13.1547,80.0694,India,IN,Tamil Nādu,,7467,7467
Kismatpur,17.3333,78.4000,India,IN,Telangāna,,7288,7288
Kādiganahalli,13.1687,77.6283,India,IN,Karnātaka,,7225,7225
Ballālpur,24.7386,87.9083,India,IN,West Bengal,,7217,7217
Narpatnagar,26.1987,86.0426,India,IN,Bihār,,7186,7186
Dhanas,30.7688,76.7541,India,IN,Chandīgarh,,7094,7094
Jājigrām,24.4724,87.9589,India,IN,West Bengal,,6977,6977
Imamnagar,24.7450,87.9247,India,IN,West Bengal,,6933,6933
Mogalcherla,18.0093,79.6613,India,IN,Telangāna,,6922,6922
Vīrapāndi,11.5757,78.0729,India,IN,Tamil Nādu,,6862,6862
Sahdai Buzurg,25.6622,85.4597,India,IN,Bihār,,6823,6823
Valasaiyūr,11.7044,78.2513,India,IN,Tamil Nādu,,6565,6565
Jogta,25.4884,84.7055,India,IN,Bihār,,6498,6498
Shivni,22.6710,76.1391,India,IN,Madhya Pradesh,,6432,6432
Daryāpur Kalān,28.7614,76.9842,India,IN,Delhi,,6310,6310
Sakhara,24.9091,84.1584,India,IN,Bihār,,6256,6256
Hasanpur,25.7079,86.1920,India,IN,Bihār,,6177,6177
Dīgnagar,23.3283,88.4469,India,IN,West Bengal,,6023,6023
Gangauli,24.9361,84.1728,India,IN,Bihār,,5943,5943
Giddha,25.5880,84.7472,India,IN,Bihār,,5728,5728
Valaiyankulam,9.8082,78.0940,India,IN,Tamil Nādu,,5712,5712
Muria,26.2028,86.0083,India,IN,Bihār,,5594,5594
Pīpalda,22.5973,76.0415,India,IN,Madhya Pradesh,,5579,5579
Sītānagaram,16.2403,80.5817,India,IN,Andhra Pradesh,,5447,5447
Kūttambākkam,13.0569,80.0275,India,IN,Tamil Nādu,,5217,5217
Kambarasampettai,10.8496,78.6754,India,IN,Tamil Nādu,,5178,5178
Sukkainpatti,11.7156,78.2626,India,IN,Tamil Nādu,,5138,5138
Bayandhalli,12.9779,77.5688,India,IN,Karnātaka,,5118,5118
Bahlolpur,30.7590,76.7034,India,IN,Chandīgarh,,4993,4993
Sondekoppa,13.0000,77.3667,India,IN,Karnātaka,,4866,4866
Manauli,30.6444,76.7217,India,IN,Punjab,,4843,4843
Parappatti,11.5853,78.1281,India,IN,Tamil Nādu,,4837,4837
Vellānūr,13.1500,80.1000,India,IN,Tamil Nādu,,4825,4825
Sursi,22.3888,72.8130,India,IN,Gujarāt,,4771,4771
Babura,25.0851,87.1092,India,IN,Bihār,,4755,4755
Pātacudapah,14.4986,78.8335,India,IN,Andhra Pradesh,,4730,4730
Mādavar,13.0525,77.4732,India,IN,Karnātaka,,4678,4678
Kadabgeri,12.9965,77.4331,India,IN,Karnātaka,,4573,4573
Keshopur,25.5148,84.6700,India,IN,Bihār,,4559,4559
Basavanhalli,13.1104,77.3877,India,IN,Karnātaka,,4510,4510
Putlampalle,14.4522,78.8511,India,IN,Andhra Pradesh,,4490,4490
Manchirevula,17.3833,78.3500,India,IN,Telangāna,,4459,4459
Tippampatti,11.5680,78.2014,India,IN,Tamil Nādu,,4411,4411
Nanmangalam,12.9381,80.1753,India,IN,Tamil Nādu,,4386,4386
Tildānga,24.7893,87.8765,India,IN,West Bengal,,4378,4378
Togān,30.7699,76.7336,India,IN,Chandīgarh,,4197,4197
Ambāpuram,16.5990,80.8949,India,IN,Andhra Pradesh,,4110,4110
Gobardhanpur,24.9493,84.1603,India,IN,Bihār,,4080,4080
Kair,28.6158,76.9100,India,IN,Delhi,,4074,4074
Pallippatti,11.7011,78.2428,India,IN,Tamil Nādu,,4066,4066
Kumbalam,8.9920,76.6621,India,IN,Kerala,,4000,4000
Sonnappanhalli,13.1557,77.6179,India,IN,Karnātaka,,3996,3996
Chanditala,22.6909,88.2662,India,IN,West Bengal,,3984,3984
Agaram,13.0397,80.0808,India,IN,Tamil Nādu,,3949,3949
Pātapādu,16.5781,80.6652,India,IN,Andhra Pradesh,,3933,3933
Andauli,26.0846,86.2105,India,IN,Bihār,,3894,3894
Pallappatti,11.6604,78.1369,India,IN,Tamil Nādu,,3879,3879
Baniara,22.6008,88.2121,India,IN,West Bengal,,3834,3834
Doddajīvanhalli,13.0086,77.6143,India,IN,Karnātaka,,3792,3792
Kolapakkam,12.9142,80.2294,India,IN,Tamil Nādu,,3729,3729
Permi,22.6204,76.1126,India,IN,Madhya Pradesh,,3697,3697
Kūllampatti,11.6922,78.2600,India,IN,Tamil Nādu,,3632,3632
Gorwa,22.5066,72.9155,India,IN,Gujarāt,,3569,3569
Diālpura,30.6395,76.7867,India,IN,Punjab,,3556,3556
Kasiām,26.1862,86.3110,India,IN,Bihār,,3480,3480
Takkolu,14.4855,78.8797,India,IN,Andhra Pradesh,,3465,3465
Panaiyūr,9.8762,78.1564,India,IN,Tamil Nādu,,3454,3454
Bhainsaha,24.8951,84.1557,India,IN,Bihār,,3454,3454
Deuriya,24.9530,84.1401,India,IN,Bihār,,3439,3439
Solankuruni,9.8067,78.1198,India,IN,Tamil Nādu,,3422,3422
Mamnoli,19.2404,73.0450,India,IN,Mahārāshtra,,3421,3421
Jālādipur,24.6356,87.9902,India,IN,West Bengal,,3319,3319
Berkap,24.9444,84.2143,India,IN,Bihār,,3272,3272
Wattināgulapalli,17.4179,78.2930,India,IN,Telangāna,,3245,3245
Himāyatsāgar,17.3399,78.3631,India,IN,Telangāna,,3244,3244
Huttanhalli,13.1651,77.6512,India,IN,Karnātaka,,3240,3240
Suara,25.0361,84.2620,India,IN,Bihār,,3234,3234
Dahāur,24.9146,84.1360,India,IN,Bihār,,3186,3186
Katār,24.8818,84.1511,India,IN,Bihār,,3149,3149
Sotur,34.0403,75.0738,India,IN,Jammu and Kashmīr,,3115,3115
Vājarhalli,13.1022,77.4111,India,IN,Karnātaka,,3009,3009
Cāchohalli,13.0010,77.4717,India,IN,Karnātaka,,2946,2946
Kasgatpur,13.1101,77.5045,India,IN,Karnātaka,,2852,2852
Rānipur,24.7442,87.8686,India,IN,West Bengal,,2844,2844
Bhagwānpur,25.8601,85.2997,India,IN,Bihār,,2840,2840
Gāgilāpur,17.6000,78.4000,India,IN,Telangāna,,2832,2832
Kitanelli,13.0095,77.4191,India,IN,Karnātaka,,2827,2827
Bartala,24.7082,87.9555,India,IN,West Bengal,,2814,2814
Tendua Dusādhi,24.9427,84.1299,India,IN,Bihār,,2770,2770
Sikdārpur,24.6463,87.9781,India,IN,West Bengal,,2691,2691
Dhurali,30.6432,76.7032,India,IN,Punjab,,2691,2691
Chinnanūr,11.6875,78.2262,India,IN,Tamil Nādu,,2688,2688
Bendravādi,12.3636,76.9137,India,IN,Karnātaka,,2684,2684
Nedumadurai,9.7959,78.0867,India,IN,Tamil Nādu,,2593,2593
Kodagihalli,12.9771,77.4651,India,IN,Karnātaka,,2585,2585
Mota Mazra,30.6214,76.7250,India,IN,Punjab,,2563,2563
Mailanhalli,13.1863,77.6963,India,IN,Karnātaka,,2543,2543
Bhagwatpur Patera,25.8580,85.2960,India,IN,Bihār,,2508,2508
Jotsema,25.6736,94.0625,India,IN,Nāgāland,,2458,2458
